model,contrast,subset,n_subjects,estimate,ci95_low,ci95_high
olmo,transfer,all,100,-0.141000,-0.160750,-0.120500
olmo,relearning,all,100,0.020000,0.015000,0.025500
olmo,relearning,relation:born_in,100,0.031250,0.015000,0.048750
olmo,relearning,relation:field_of_study,100,0.002500,-0.003750,0.010000
olmo,relearning,relation:lives_in,100,0.032500,0.020000,0.047500
olmo,relearning,relation:profession,100,0.008750,0.000000,0.018750
olmo,relearning,relation:works_in_industry,100,0.025000,0.012500,0.038750
olmo,relearning,form_id:form_a,100,0.030000,0.020000,0.041000
olmo,relearning,form_id:form_b,100,0.010000,0.003000,0.017000
olmo,relearning,form_id:form_c,100,0.016000,0.007000,0.027000
olmo,relearning,form_id:form_d,100,0.024000,0.015000,0.034000
olmo,relearning,scaffold_id:direct,100,0.036500,0.027500,0.046500
olmo,relearning,scaffold_id:qa,100,0.003500,-0.001000,0.008000
qwen,transfer,all,100,-0.307000,-0.336750,-0.277500
qwen,relearning,all,100,0.043500,0.029500,0.057750
qwen,relearning,relation:born_in,100,0.086250,0.047500,0.126250
qwen,relearning,relation:field_of_study,100,0.023750,0.005000,0.042500
qwen,relearning,relation:lives_in,100,0.003750,-0.052500,0.061250
qwen,relearning,relation:profession,100,0.057500,0.027500,0.091250
qwen,relearning,relation:works_in_industry,100,0.046250,0.026250,0.067500
qwen,relearning,form_id:form_a,100,0.041000,0.021000,0.060000
qwen,relearning,form_id:form_b,100,0.045000,0.028000,0.064000
qwen,relearning,form_id:form_c,100,0.043000,0.023000,0.063000
qwen,relearning,form_id:form_d,100,0.045000,0.027000,0.064000
qwen,relearning,scaffold_id:direct,100,0.050000,0.033000,0.066500
qwen,relearning,scaffold_id:qa,100,0.037000,0.021000,0.053500
smollm,transfer,all,100,-0.161750,-0.185250,-0.138500
smollm,relearning,all,100,0.003500,0.000500,0.006500
smollm,relearning,relation:born_in,100,0.001250,-0.006250,0.008750
smollm,relearning,relation:field_of_study,100,0.000000,-0.005000,0.005000
smollm,relearning,relation:lives_in,100,0.012500,0.002500,0.023750
smollm,relearning,relation:profession,100,0.001250,-0.003750,0.006250
smollm,relearning,relation:works_in_industry,100,0.002500,-0.002500,0.007500
smollm,relearning,form_id:form_a,100,0.003000,-0.001000,0.008000
smollm,relearning,form_id:form_b,100,0.005000,-0.003000,0.013000
smollm,relearning,form_id:form_c,100,0.000000,-0.005000,0.006000
smollm,relearning,form_id:form_d,100,0.006000,-0.001000,0.014000
smollm,relearning,scaffold_id:direct,100,0.005500,0.000500,0.010500
smollm,relearning,scaffold_id:qa,100,0.001500,-0.002000,0.005500
