model,arm,axis,key,n,top1,accuracy
olmo,M2-A,relation,born_in,2400,914,0.380833
olmo,M2-A,relation,field_of_study,2400,895,0.372917
olmo,M2-A,relation,lives_in,2400,938,0.390833
olmo,M2-A,relation,profession,2400,690,0.287500
olmo,M2-A,relation,works_in_industry,2400,907,0.377917
olmo,M2-A,form_id,form_a,3000,1132,0.377333
olmo,M2-A,form_id,form_b,3000,1080,0.360000
olmo,M2-A,form_id,form_c,3000,1026,0.342000
olmo,M2-A,form_id,form_d,3000,1106,0.368667
olmo,M2-A,scaffold_id,direct,6000,2298,0.383000
olmo,M2-A,scaffold_id,qa,6000,2046,0.341000
olmo,M2-B,relation,born_in,2400,971,0.404583
olmo,M2-B,relation,field_of_study,2400,904,0.376667
olmo,M2-B,relation,lives_in,2400,985,0.410417
olmo,M2-B,relation,profession,2400,712,0.296667
olmo,M2-B,relation,works_in_industry,2400,938,0.390833
olmo,M2-B,form_id,form_a,3000,1188,0.396000
olmo,M2-B,form_id,form_b,3000,1105,0.368333
olmo,M2-B,form_id,form_c,3000,1060,0.353333
olmo,M2-B,form_id,form_d,3000,1157,0.385667
olmo,M2-B,scaffold_id,direct,6000,2435,0.405833
olmo,M2-B,scaffold_id,qa,6000,2075,0.345833
qwen,M2-A,relation,born_in,2400,1864,0.776667
qwen,M2-A,relation,field_of_study,2400,1002,0.417500
qwen,M2-A,relation,lives_in,2400,1586,0.660833
qwen,M2-A,relation,profession,2400,1167,0.486250
qwen,M2-A,relation,works_in_industry,2400,1194,0.497500
qwen,M2-A,form_id,form_a,3000,1781,0.593667
qwen,M2-A,form_id,form_b,3000,1749,0.583000
qwen,M2-A,form_id,form_c,3000,1729,0.576333
qwen,M2-A,form_id,form_d,3000,1554,0.518000
qwen,M2-A,scaffold_id,direct,6000,3576,0.596000
qwen,M2-A,scaffold_id,qa,6000,3237,0.539500
qwen,M2-B,relation,born_in,2400,1988,0.828333
qwen,M2-B,relation,field_of_study,2400,1050,0.437500
qwen,M2-B,relation,lives_in,2400,1649,0.687083
qwen,M2-B,relation,profession,2400,1314,0.547500
qwen,M2-B,relation,works_in_industry,2400,1251,0.521250
qwen,M2-B,form_id,form_a,3000,1880,0.626667
qwen,M2-B,form_id,form_b,3000,1857,0.619000
qwen,M2-B,form_id,form_c,3000,1850,0.616667
qwen,M2-B,form_id,form_d,3000,1665,0.555000
qwen,M2-B,scaffold_id,direct,6000,3803,0.633833
qwen,M2-B,scaffold_id,qa,6000,3449,0.574833
smollm,M2-A,relation,born_in,2400,863,0.359583
smollm,M2-A,relation,field_of_study,2400,717,0.298750
smollm,M2-A,relation,lives_in,2400,685,0.285417
smollm,M2-A,relation,profession,2400,673,0.280417
smollm,M2-A,relation,works_in_industry,2400,823,0.342917
smollm,M2-A,form_id,form_a,3000,928,0.309333
smollm,M2-A,form_id,form_b,3000,914,0.304667
smollm,M2-A,form_id,form_c,3000,874,0.291333
smollm,M2-A,form_id,form_d,3000,1045,0.348333
smollm,M2-A,scaffold_id,direct,6000,1842,0.307000
smollm,M2-A,scaffold_id,qa,6000,1919,0.319833
smollm,M2-B,relation,born_in,2400,859,0.357917
smollm,M2-B,relation,field_of_study,2400,714,0.297500
smollm,M2-B,relation,lives_in,2400,696,0.290000
smollm,M2-B,relation,profession,2400,660,0.275000
smollm,M2-B,relation,works_in_industry,2400,817,0.340417
smollm,M2-B,form_id,form_a,3000,922,0.307333
smollm,M2-B,form_id,form_b,3000,909,0.303000
smollm,M2-B,form_id,form_c,3000,866,0.288667
smollm,M2-B,form_id,form_d,3000,1049,0.349667
smollm,M2-B,scaffold_id,direct,6000,1839,0.306500
smollm,M2-B,scaffold_id,qa,6000,1907,0.317833
