model,arm,update,dose_pct,factual_top1,n,oscar_bpb,trwiki_bpb,wikitext_bpb,exact_top1
olmo,M2-A,76,10.0,0.383333,1500,1.601707,1.629657,0.942130,0.990000
olmo,M2-A,152,19.9,0.376000,1500,1.570291,1.609555,0.933330,0.982000
olmo,M2-A,229,30.1,0.374000,1500,1.552669,1.598211,0.929556,0.968000
olmo,M2-A,305,40.0,0.371333,1500,1.540124,1.590825,0.928169,0.950000
olmo,M2-A,381,50.0,0.370667,1500,1.529939,1.584544,0.927296,0.940000
olmo,M2-A,457,60.0,0.368000,1500,1.521529,1.579651,0.927053,0.934000
olmo,M2-A,533,69.9,0.366667,1500,1.514264,1.575349,0.926765,0.924000
olmo,M2-A,610,80.1,0.364000,1500,1.508263,1.571738,0.926635,0.920000
olmo,M2-A,686,90.0,0.361333,1500,1.503235,1.569003,0.927082,0.914000
olmo,M2-A,762,100.0,0.364000,1500,1.498948,1.566501,0.927336,0.908000
olmo,M2-B,76,10.0,0.383333,1500,1.601971,1.627800,0.925134,0.990000
olmo,M2-B,152,19.9,0.378000,1500,1.570540,1.607602,0.918154,0.984000
olmo,M2-B,229,30.1,0.378667,1500,1.552952,1.596339,0.914962,0.968000
olmo,M2-B,305,40.0,0.378667,1500,1.540468,1.588841,0.913525,0.960000
olmo,M2-B,381,50.0,0.378000,1500,1.530325,1.582734,0.913202,0.950000
olmo,M2-B,457,60.0,0.376000,1500,1.521915,1.577806,0.913229,0.940000
olmo,M2-B,533,69.9,0.375333,1500,1.514660,1.573646,0.913256,0.932000
olmo,M2-B,610,80.1,0.375333,1500,1.508677,1.570127,0.914034,0.932000
olmo,M2-B,686,90.0,0.374667,1500,1.503680,1.567373,0.914293,0.932000
olmo,M2-B,762,100.0,0.373333,1500,1.499384,1.564960,0.914733,0.926000
qwen,M2-A,76,10.0,0.618000,1500,1.262325,1.268211,0.957910,1.000000
qwen,M2-A,152,19.9,0.601333,1500,1.241725,1.258813,0.952424,1.000000
qwen,M2-A,229,30.1,0.586000,1500,1.230101,1.254495,0.948832,1.000000
qwen,M2-A,305,40.0,0.587333,1500,1.221727,1.251393,0.947147,1.000000
qwen,M2-A,381,50.0,0.577333,1500,1.215057,1.249186,0.945198,0.998000
qwen,M2-A,457,60.0,0.580000,1500,1.209530,1.247630,0.945303,0.998000
qwen,M2-A,533,69.9,0.578667,1500,1.204805,1.245564,0.944918,0.994000
qwen,M2-A,610,80.1,0.571333,1500,1.200613,1.245009,0.944617,0.994000
qwen,M2-A,686,90.0,0.572000,1500,1.197033,1.243494,0.944470,0.994000
qwen,M2-A,762,100.0,0.568000,1500,1.193852,1.241882,0.944411,0.992000
qwen,M2-B,76,10.0,0.621333,1500,1.262614,1.267685,0.947136,1.000000
qwen,M2-B,152,19.9,0.619333,1500,1.242006,1.258168,0.942268,1.000000
qwen,M2-B,229,30.1,0.614667,1500,1.230387,1.253765,0.938629,1.000000
qwen,M2-B,305,40.0,0.615333,1500,1.222080,1.250535,0.936307,1.000000
qwen,M2-B,381,50.0,0.616000,1500,1.215418,1.248501,0.934465,1.000000
qwen,M2-B,457,60.0,0.609333,1500,1.209909,1.246795,0.933939,1.000000
qwen,M2-B,533,69.9,0.606667,1500,1.205181,1.244749,0.933178,1.000000
qwen,M2-B,610,80.1,0.600000,1500,1.201015,1.244089,0.932909,1.000000
qwen,M2-B,686,90.0,0.604000,1500,1.197472,1.242703,0.932677,1.000000
qwen,M2-B,762,100.0,0.602667,1500,1.194288,1.241171,0.933005,1.000000
smollm,M2-A,76,10.0,0.385333,1500,1.472366,1.508609,0.958852,1.000000
smollm,M2-A,152,19.9,0.360667,1500,1.457823,1.495485,0.955188,0.992000
smollm,M2-A,229,30.1,0.340667,1500,1.450929,1.489957,0.952983,0.984000
smollm,M2-A,305,40.0,0.332000,1500,1.446309,1.486552,0.951547,0.982000
smollm,M2-A,381,50.0,0.329333,1500,1.442795,1.484164,0.950341,0.968000
smollm,M2-A,457,60.0,0.324000,1500,1.439946,1.482297,0.949401,0.962000
smollm,M2-A,533,69.9,0.315333,1500,1.437584,1.480709,0.948430,0.954000
smollm,M2-A,610,80.1,0.315333,1500,1.435569,1.479365,0.947678,0.946000
smollm,M2-A,686,90.0,0.312000,1500,1.433888,1.478437,0.947016,0.934000
smollm,M2-A,762,100.0,0.308667,1500,1.432482,1.477685,0.946396,0.932000
smollm,M2-B,76,10.0,0.383333,1500,1.472787,1.508583,0.955309,1.000000
smollm,M2-B,152,19.9,0.355333,1500,1.457892,1.494931,0.949016,0.994000
smollm,M2-B,229,30.1,0.340000,1500,1.450948,1.489342,0.945565,0.988000
smollm,M2-B,305,40.0,0.327333,1500,1.446304,1.485886,0.942676,0.978000
smollm,M2-B,381,50.0,0.322000,1500,1.442818,1.483459,0.940541,0.964000
smollm,M2-B,457,60.0,0.318000,1500,1.439989,1.481593,0.939054,0.954000
smollm,M2-B,533,69.9,0.314000,1500,1.437619,1.479985,0.937578,0.952000
smollm,M2-B,610,80.1,0.312667,1500,1.435621,1.478629,0.936109,0.942000
smollm,M2-B,686,90.0,0.312667,1500,1.433956,1.477715,0.934895,0.938000
smollm,M2-B,762,100.0,0.308000,1500,1.432548,1.476941,0.934199,0.932000
