relation,object_en,object_tr,source_taxonomy,source_category,en_token_count,en_token_ids,en_prior_mean_logprob,en_prior_robust_z,en_prior_share,tr_token_count,tr_token_ids,tr_prior_mean_logprob,tr_prior_robust_z,tr_prior_share,status,flags
field_of_study,physics,fizik,ISCED-F 2013,0533 Physics,1,6944,-5.9058822,1.520557,0.05288,3,275|463|1873,-3.71770263,0.430578,0.01998686,pass,
field_of_study,chemistry,kimya,ISCED-F 2013,0531 Chemistry,1,8856,-6.38504887,1.207158,0.03274854,3,501|306|5488,-4.5561293,-0.603086,0.00864212,pass,
field_of_study,biology,biyoloji,ISCED-F 2013,0511 Biology,1,7505,-6.4058822,1.193531,0.03207334,4,1632|105|21758|10381,-3.60722677,0.566779,0.02232151,pass,
field_of_study,mathematics,matematik,ISCED-F 2013,0541 Mathematics,1,6530,-4.84338212,2.215487,0.15301336,3,18357|3352|1873,-3.87486792,0.236815,0.01708003,review,en_prior_share
field_of_study,statistics,istatistik,ISCED-F 2013,0542 Statistics,1,7515,-7.32254887,0.593984,0.01282451,4,43424|261|363|1873,-3.49792814,0.701529,0.02489954,pass,
field_of_study,economics,ekonomi,ISCED-F 2013,0311 Economics,1,9883,-6.51004887,1.125401,0.02890049,3,297|43776|25250,-4.09458121,-0.034061,0.01371097,pass,
field_of_study,history,tarih,ISCED-F 2013,0222 History and archaeology,1,1463,-6.42671553,1.179905,0.03141206,3,252|2566|88,-3.71089824,0.438967,0.02012332,pass,
field_of_study,geography,coğrafya,ISCED-F 2013,0532 Earth sciences,1,12973,-7.80171553,0.280584,0.00794221,4,857|43702|39164|5488,-4.27347104,-0.254607,0.01146509,pass,
field_of_study,philosophy,felsefe,ISCED-F 2013,0223 Philosophy and ethics,1,6360,-6.05171545,1.425175,0.04570428,3,275|13830|4565,-5.80437326,-2.141997,0.00248036,pass,
field_of_study,psychology,psikoloji,ISCED-F 2013,0313 Psychology,1,7926,-6.11421553,1.384297,0.04293519,4,15891|1873|21758|10381,-3.89357448,0.213752,0.01676349,pass,
field_of_study,social studies,sosyal,ISCED-F 2013,0314 Sociology and cultural studies,2,1329|2157,-5.28732141,1.925128,0.09815874,3,262|395|8254,-3.37951056,0.847522,0.02802977,pass,
field_of_study,linguistics,dilbilim,ISCED-F 2013,0232 Literature and linguistics,1,25900,-7.5308822,0.457723,0.01041269,4,8601|82|301|306,-4.29402288,-0.279945,0.01123186,pass,
field_of_study,literature,edebiyat,ISCED-F 2013,0232 Literature and linguistics,1,3657,-8.2183822,0.008063,0.00523583,4,953|2713|12771|261,-3.81873353,0.306021,0.01806622,pass,
field_of_study,archaeology,arkeoloji,ISCED-F 2013,0222 History and archaeology,1,22379,-8.3433822,-0.073694,0.0046206,4,562|396|21758|10381,-3.51513728,0.680313,0.02447471,pass,
field_of_study,anthropology,antropoloji,ISCED-F 2013,0314 Sociology and cultural studies,1,21840,-7.94754887,0.185202,0.00686447,3,1598|11352|33777,-6.57611068,-3.093442,0.00114645,pass,
field_of_study,politics,siyaset,ISCED-F 2013,0312 Political sciences and civics,1,5993,-8.4683822,-0.15545,0.00407767,3,262|12771|4747,-3.98947398,0.095522,0.01523056,pass,
field_of_study,law,hukuk,ISCED-F 2013,0421 Law,1,1525,-7.13504887,0.716619,0.01546932,3,294|3617|3617,-3.62219644,0.548324,0.02198985,pass,
field_of_study,medicine,tıp,ISCED-F 2013,0912 Medicine,1,4513,-7.48921553,0.484975,0.01085572,3,252|20335|96,-3.79079795,0.340462,0.01857803,pass,
field_of_study,nursing,hemşirelik,ISCED-F 2013,0913 Nursing and midwifery,1,11040,-9.2808822,-0.686867,0.00180945,4,8367|32647|609|7692,-4.72264576,-0.808377,0.0073165,pass,
field_of_study,pharmacy,eczacılık,ISCED-F 2013,0916 Pharmacy,1,31244,-9.7183822,-0.973015,0.00116827,6,2948|44347|20335|92|20335|91,-3.67134039,0.487736,0.02093531,review,tr_token_count
field_of_study,dental studies,dişçilik,ISCED-F 2013,0911 Dental studies,2,6437|2157,-7.66951482,0.36705,0.00906474,5,801|32647|11512|301|1873,-4.29325279,-0.278995,0.01124052,review,tr_token_count
field_of_study,veterinary,veteriner,ISCED-F 2013,0841 Veterinary,1,19017,-10.11421553,-1.23191,0.00078639,2,7368|10829,-11.65069199,-9.349695,7.17e-06,review,tr_prior_z
field_of_study,architecture,mimarlık,ISCED-F 2013,0731 Architecture and town planning,1,6277,-8.55171553,-0.209954,0.00375164,4,12112|2108|20335|91,-5.06181908,-1.226531,0.00521197,pass,
field_of_study,construction,inşaat,ISCED-F 2013,0732 Building and civil engineering,1,3901,-10.07254887,-1.204658,0.00081984,4,281|32647|81|261,-3.7057337,0.445334,0.02022752,pass,
field_of_study,mechanics,mekanik,ISCED-F 2013,0715 Mechanics and metal trades,1,12774,-8.94754887,-0.46885,0.0025253,3,549|24184|1873,-4.43766181,-0.457032,0.00972905,pass,
field_of_study,electricity,elektrik,ISCED-F 2013,0713 Electricity and energy,1,4866,-10.55171553,-1.518058,0.00050773,3,1427|22817|20598,-3.52458231,0.668669,0.02424463,pass,
field_of_study,computing,bilişim,ISCED-F 2013,0613 Software and applications development,1,7867,-8.48921553,-0.169076,0.00399359,4,278|1979|32647|306,-3.29921611,0.946514,0.03037323,pass,
