model,model_label,state,direction,n,top1_accuracy,top1_percent
olmo,OLMo,M1,en_to_en,4000,0.9725,97.25
olmo,OLMo,M1,tr_to_en,4000,0.23375,23.375
olmo,OLMo,M1,tr_to_tr,4000,0.12175,12.175
olmo,OLMo,M2-A,en_to_en,4000,0.941,94.1
olmo,OLMo,M2-A,tr_to_en,4000,0.09275,9.275
olmo,OLMo,M2-A,tr_to_tr,4000,0.05225,5.225
olmo,OLMo,M2-B,en_to_en,4000,0.946,94.6
olmo,OLMo,M2-B,tr_to_en,4000,0.11275,11.275
olmo,OLMo,M2-B,tr_to_tr,4000,0.06875,6.875
qwen,Qwen,M1,en_to_en,4000,0.98,98
qwen,Qwen,M1,tr_to_en,4000,0.7635,76.35
qwen,Qwen,M1,tr_to_tr,4000,0.3155,31.55
qwen,Qwen,M2-A,en_to_en,4000,0.977,97.7
qwen,Qwen,M2-A,tr_to_en,4000,0.4565,45.65
qwen,Qwen,M2-A,tr_to_tr,4000,0.26975,26.975
qwen,Qwen,M2-B,en_to_en,4000,0.98425,98.425
qwen,Qwen,M2-B,tr_to_en,4000,0.5,50
qwen,Qwen,M2-B,tr_to_tr,4000,0.32875,32.875
smollm,SmolLM,M1,en_to_en,4000,0.812,81.2
smollm,SmolLM,M1,tr_to_en,4000,0.295,29.5
smollm,SmolLM,M1,tr_to_tr,4000,0.15425,15.425
smollm,SmolLM,M2-A,en_to_en,4000,0.7405,74.05
smollm,SmolLM,M2-A,tr_to_en,4000,0.13325,13.325
smollm,SmolLM,M2-A,tr_to_tr,4000,0.0665,6.65
smollm,SmolLM,M2-B,en_to_en,4000,0.731,73.1
smollm,SmolLM,M2-B,tr_to_en,4000,0.13675,13.675
smollm,SmolLM,M2-B,tr_to_tr,4000,0.06875,6.875
