model,model_label,arm,axis,key,n,top1,accuracy,accuracy_percent
olmo,OLMo,M2-A,form_id,form_a,3000,1132,0.377333,37.7333
olmo,OLMo,M2-A,form_id,form_b,3000,1080,0.360000,36
olmo,OLMo,M2-A,form_id,form_c,3000,1026,0.342000,34.2
olmo,OLMo,M2-A,form_id,form_d,3000,1106,0.368667,36.8667
olmo,OLMo,M2-B,form_id,form_a,3000,1188,0.396000,39.6
olmo,OLMo,M2-B,form_id,form_b,3000,1105,0.368333,36.8333
olmo,OLMo,M2-B,form_id,form_c,3000,1060,0.353333,35.3333
olmo,OLMo,M2-B,form_id,form_d,3000,1157,0.385667,38.5667
qwen,Qwen,M2-A,form_id,form_a,3000,1781,0.593667,59.3667
qwen,Qwen,M2-A,form_id,form_b,3000,1749,0.583000,58.3
qwen,Qwen,M2-A,form_id,form_c,3000,1729,0.576333,57.6333
qwen,Qwen,M2-A,form_id,form_d,3000,1554,0.518000,51.8
qwen,Qwen,M2-B,form_id,form_a,3000,1880,0.626667,62.6667
qwen,Qwen,M2-B,form_id,form_b,3000,1857,0.619000,61.9
qwen,Qwen,M2-B,form_id,form_c,3000,1850,0.616667,61.6667
qwen,Qwen,M2-B,form_id,form_d,3000,1665,0.555000,55.5
smollm,SmolLM,M2-A,form_id,form_a,3000,928,0.309333,30.9333
smollm,SmolLM,M2-A,form_id,form_b,3000,914,0.304667,30.4667
smollm,SmolLM,M2-A,form_id,form_c,3000,874,0.291333,29.1333
smollm,SmolLM,M2-A,form_id,form_d,3000,1045,0.348333,34.8333
smollm,SmolLM,M2-B,form_id,form_a,3000,922,0.307333,30.7333
smollm,SmolLM,M2-B,form_id,form_b,3000,909,0.303000,30.3
smollm,SmolLM,M2-B,form_id,form_c,3000,866,0.288667,28.8667
smollm,SmolLM,M2-B,form_id,form_d,3000,1049,0.349667,34.9667
