model,model_label,arm,axis,key,n,top1,accuracy,accuracy_percent
olmo,OLMo,M2-A,relation,born_in,2400,914,0.380833,38.0833
olmo,OLMo,M2-A,relation,field_of_study,2400,895,0.372917,37.2917
olmo,OLMo,M2-A,relation,lives_in,2400,938,0.390833,39.0833
olmo,OLMo,M2-A,relation,profession,2400,690,0.287500,28.75
olmo,OLMo,M2-A,relation,works_in_industry,2400,907,0.377917,37.7917
olmo,OLMo,M2-B,relation,born_in,2400,971,0.404583,40.4583
olmo,OLMo,M2-B,relation,field_of_study,2400,904,0.376667,37.6667
olmo,OLMo,M2-B,relation,lives_in,2400,985,0.410417,41.0417
olmo,OLMo,M2-B,relation,profession,2400,712,0.296667,29.6667
olmo,OLMo,M2-B,relation,works_in_industry,2400,938,0.390833,39.0833
qwen,Qwen,M2-A,relation,born_in,2400,1864,0.776667,77.6667
qwen,Qwen,M2-A,relation,field_of_study,2400,1002,0.417500,41.75
qwen,Qwen,M2-A,relation,lives_in,2400,1586,0.660833,66.0833
qwen,Qwen,M2-A,relation,profession,2400,1167,0.486250,48.625
qwen,Qwen,M2-A,relation,works_in_industry,2400,1194,0.497500,49.75
qwen,Qwen,M2-B,relation,born_in,2400,1988,0.828333,82.8333
qwen,Qwen,M2-B,relation,field_of_study,2400,1050,0.437500,43.75
qwen,Qwen,M2-B,relation,lives_in,2400,1649,0.687083,68.7083
qwen,Qwen,M2-B,relation,profession,2400,1314,0.547500,54.75
qwen,Qwen,M2-B,relation,works_in_industry,2400,1251,0.521250,52.125
smollm,SmolLM,M2-A,relation,born_in,2400,863,0.359583,35.9583
smollm,SmolLM,M2-A,relation,field_of_study,2400,717,0.298750,29.875
smollm,SmolLM,M2-A,relation,lives_in,2400,685,0.285417,28.5417
smollm,SmolLM,M2-A,relation,profession,2400,673,0.280417,28.0417
smollm,SmolLM,M2-A,relation,works_in_industry,2400,823,0.342917,34.2917
smollm,SmolLM,M2-B,relation,born_in,2400,859,0.357917,35.7917
smollm,SmolLM,M2-B,relation,field_of_study,2400,714,0.297500,29.75
smollm,SmolLM,M2-B,relation,lives_in,2400,696,0.290000,29
smollm,SmolLM,M2-B,relation,profession,2400,660,0.275000,27.5
smollm,SmolLM,M2-B,relation,works_in_industry,2400,817,0.340417,34.0417
