pair,row_value,column_value,count,row_total,column_total,total
branch_group__field_of_study_en,A,accounting,50,2500,100,5000
branch_group__field_of_study_en,A,agriculture,50,2500,100,5000
branch_group__field_of_study_en,A,animal care,50,2500,100,5000
branch_group__field_of_study_en,A,anthropology,50,2500,100,5000
branch_group__field_of_study_en,A,archaeology,50,2500,100,5000
branch_group__field_of_study_en,A,architecture,50,2500,100,5000
branch_group__field_of_study_en,A,biology,50,2500,100,5000
branch_group__field_of_study_en,A,business,51,2500,100,5000
branch_group__field_of_study_en,A,chemistry,50,2500,100,5000
branch_group__field_of_study_en,A,communication,50,2500,100,5000
branch_group__field_of_study_en,A,computing,50,2500,100,5000
branch_group__field_of_study_en,A,construction,50,2500,100,5000
branch_group__field_of_study_en,A,cultural analysis,51,2500,100,5000
branch_group__field_of_study_en,A,data analytics,50,2500,100,5000
branch_group__field_of_study_en,A,dental studies,51,2500,100,5000
branch_group__field_of_study_en,A,design,50,2500,100,5000
branch_group__field_of_study_en,A,diplomacy,51,2500,100,5000
branch_group__field_of_study_en,A,ecology,50,2500,100,5000
branch_group__field_of_study_en,A,economics,49,2500,100,5000
branch_group__field_of_study_en,A,electricity,50,2500,100,5000
branch_group__field_of_study_en,A,exercise science,50,2500,100,5000
branch_group__field_of_study_en,A,film studies,50,2500,100,5000
branch_group__field_of_study_en,A,fiscal studies,50,2500,100,5000
branch_group__field_of_study_en,A,forestry,49,2500,100,5000
branch_group__field_of_study_en,A,geography,50,2500,100,5000
branch_group__field_of_study_en,A,governance,50,2500,100,5000
branch_group__field_of_study_en,A,history,51,2500,100,5000
branch_group__field_of_study_en,A,law,50,2500,100,5000
branch_group__field_of_study_en,A,linguistics,50,2500,100,5000
branch_group__field_of_study_en,A,literature,49,2500,100,5000
branch_group__field_of_study_en,A,logistics,50,2500,100,5000
branch_group__field_of_study_en,A,management,50,2500,100,5000
branch_group__field_of_study_en,A,marketing,50,2500,100,5000
branch_group__field_of_study_en,A,mechanics,50,2500,100,5000
branch_group__field_of_study_en,A,media studies,50,2500,100,5000
branch_group__field_of_study_en,A,medicine,49,2500,100,5000
branch_group__field_of_study_en,A,music,50,2500,100,5000
branch_group__field_of_study_en,A,nursing,50,2500,100,5000
branch_group__field_of_study_en,A,pharmacy,49,2500,100,5000
branch_group__field_of_study_en,A,philosophy,50,2500,100,5000
branch_group__field_of_study_en,A,physics,51,2500,100,5000
branch_group__field_of_study_en,A,politics,50,2500,100,5000
branch_group__field_of_study_en,A,psychology,50,2500,100,5000
branch_group__field_of_study_en,A,quantitative methods,50,2500,100,5000
branch_group__field_of_study_en,A,social care,50,2500,100,5000
branch_group__field_of_study_en,A,software,50,2500,100,5000
branch_group__field_of_study_en,A,statistics,49,2500,100,5000
branch_group__field_of_study_en,A,teaching,50,2500,100,5000
branch_group__field_of_study_en,A,theatre,50,2500,100,5000
branch_group__field_of_study_en,A,tourism,50,2500,100,5000
branch_group__field_of_study_en,B,accounting,50,2500,100,5000
branch_group__field_of_study_en,B,agriculture,50,2500,100,5000
branch_group__field_of_study_en,B,animal care,50,2500,100,5000
branch_group__field_of_study_en,B,anthropology,50,2500,100,5000
branch_group__field_of_study_en,B,archaeology,50,2500,100,5000
branch_group__field_of_study_en,B,architecture,50,2500,100,5000
branch_group__field_of_study_en,B,biology,50,2500,100,5000
branch_group__field_of_study_en,B,business,49,2500,100,5000
branch_group__field_of_study_en,B,chemistry,50,2500,100,5000
branch_group__field_of_study_en,B,communication,50,2500,100,5000
branch_group__field_of_study_en,B,computing,50,2500,100,5000
branch_group__field_of_study_en,B,construction,50,2500,100,5000
branch_group__field_of_study_en,B,cultural analysis,49,2500,100,5000
branch_group__field_of_study_en,B,data analytics,50,2500,100,5000
branch_group__field_of_study_en,B,dental studies,49,2500,100,5000
branch_group__field_of_study_en,B,design,50,2500,100,5000
branch_group__field_of_study_en,B,diplomacy,49,2500,100,5000
branch_group__field_of_study_en,B,ecology,50,2500,100,5000
branch_group__field_of_study_en,B,economics,51,2500,100,5000
branch_group__field_of_study_en,B,electricity,50,2500,100,5000
branch_group__field_of_study_en,B,exercise science,50,2500,100,5000
branch_group__field_of_study_en,B,film studies,50,2500,100,5000
branch_group__field_of_study_en,B,fiscal studies,50,2500,100,5000
branch_group__field_of_study_en,B,forestry,51,2500,100,5000
branch_group__field_of_study_en,B,geography,50,2500,100,5000
branch_group__field_of_study_en,B,governance,50,2500,100,5000
branch_group__field_of_study_en,B,history,49,2500,100,5000
branch_group__field_of_study_en,B,law,50,2500,100,5000
branch_group__field_of_study_en,B,linguistics,50,2500,100,5000
branch_group__field_of_study_en,B,literature,51,2500,100,5000
branch_group__field_of_study_en,B,logistics,50,2500,100,5000
branch_group__field_of_study_en,B,management,50,2500,100,5000
branch_group__field_of_study_en,B,marketing,50,2500,100,5000
branch_group__field_of_study_en,B,mechanics,50,2500,100,5000
branch_group__field_of_study_en,B,media studies,50,2500,100,5000
branch_group__field_of_study_en,B,medicine,51,2500,100,5000
branch_group__field_of_study_en,B,music,50,2500,100,5000
branch_group__field_of_study_en,B,nursing,50,2500,100,5000
branch_group__field_of_study_en,B,pharmacy,51,2500,100,5000
branch_group__field_of_study_en,B,philosophy,50,2500,100,5000
branch_group__field_of_study_en,B,physics,49,2500,100,5000
branch_group__field_of_study_en,B,politics,50,2500,100,5000
branch_group__field_of_study_en,B,psychology,50,2500,100,5000
branch_group__field_of_study_en,B,quantitative methods,50,2500,100,5000
branch_group__field_of_study_en,B,social care,50,2500,100,5000
branch_group__field_of_study_en,B,software,50,2500,100,5000
branch_group__field_of_study_en,B,statistics,51,2500,100,5000
branch_group__field_of_study_en,B,teaching,50,2500,100,5000
branch_group__field_of_study_en,B,theatre,50,2500,100,5000
branch_group__field_of_study_en,B,tourism,50,2500,100,5000
branch_group__works_in_industry_en,A,academia,51,2500,100,5000
branch_group__works_in_industry_en,A,accounting,50,2500,100,5000
branch_group__works_in_industry_en,A,advertising,49,2500,100,5000
branch_group__works_in_industry_en,A,airlines,51,2500,100,5000
branch_group__works_in_industry_en,A,architecture,49,2500,100,5000
branch_group__works_in_industry_en,A,arts,51,2500,100,5000
branch_group__works_in_industry_en,A,automotive,49,2500,100,5000
branch_group__works_in_industry_en,A,banking,49,2500,100,5000
branch_group__works_in_industry_en,A,biotech,51,2500,100,5000
branch_group__works_in_industry_en,A,books,49,2500,100,5000
branch_group__works_in_industry_en,A,catering,50,2500,100,5000
branch_group__works_in_industry_en,A,chemicals,48,2500,100,5000
branch_group__works_in_industry_en,A,communications,49,2500,100,5000
branch_group__works_in_industry_en,A,construction,51,2500,100,5000
branch_group__works_in_industry_en,A,consulting,50,2500,100,5000
branch_group__works_in_industry_en,A,electrical,49,2500,100,5000
branch_group__works_in_industry_en,A,energy,52,2500,100,5000
branch_group__works_in_industry_en,A,engineering,48,2500,100,5000
branch_group__works_in_industry_en,A,entertainment,49,2500,100,5000
branch_group__works_in_industry_en,A,extraction,51,2500,100,5000
branch_group__works_in_industry_en,A,fabrication,49,2500,100,5000
branch_group__works_in_industry_en,A,farming,50,2500,100,5000
branch_group__works_in_industry_en,A,fashion,50,2500,100,5000
branch_group__works_in_industry_en,A,gaming,51,2500,100,5000
branch_group__works_in_industry_en,A,government,49,2500,100,5000
branch_group__works_in_industry_en,A,groceries,50,2500,100,5000
branch_group__works_in_industry_en,A,healthcare,51,2500,100,5000
branch_group__works_in_industry_en,A,hotels,49,2500,100,5000
branch_group__works_in_industry_en,A,infrastructure,51,2500,100,5000
branch_group__works_in_industry_en,A,insurance,50,2500,100,5000
branch_group__works_in_industry_en,A,investment,50,2500,100,5000
branch_group__works_in_industry_en,A,law,52,2500,100,5000
branch_group__works_in_industry_en,A,logistics,50,2500,100,5000
branch_group__works_in_industry_en,A,maritime,49,2500,100,5000
branch_group__works_in_industry_en,A,media,50,2500,100,5000
branch_group__works_in_industry_en,A,pharmaceuticals,50,2500,100,5000
branch_group__works_in_industry_en,A,property,51,2500,100,5000
branch_group__works_in_industry_en,A,railways,51,2500,100,5000
branch_group__works_in_industry_en,A,recreation,51,2500,100,5000
branch_group__works_in_industry_en,A,research,51,2500,100,5000
branch_group__works_in_industry_en,A,retail,49,2500,100,5000
branch_group__works_in_industry_en,A,security,48,2500,100,5000
branch_group__works_in_industry_en,A,software,51,2500,100,5000
branch_group__works_in_industry_en,A,space,50,2500,100,5000
branch_group__works_in_industry_en,A,textiles,50,2500,100,5000
branch_group__works_in_industry_en,A,timber,51,2500,100,5000
branch_group__works_in_industry_en,A,tourism,51,2500,100,5000
branch_group__works_in_industry_en,A,trade,50,2500,100,5000
branch_group__works_in_industry_en,A,waste,50,2500,100,5000
branch_group__works_in_industry_en,A,welfare,49,2500,100,5000
branch_group__works_in_industry_en,B,academia,49,2500,100,5000
branch_group__works_in_industry_en,B,accounting,50,2500,100,5000
branch_group__works_in_industry_en,B,advertising,51,2500,100,5000
branch_group__works_in_industry_en,B,airlines,49,2500,100,5000
branch_group__works_in_industry_en,B,architecture,51,2500,100,5000
branch_group__works_in_industry_en,B,arts,49,2500,100,5000
