relation,object_en,object_tr,source_taxonomy,source_category,en_token_count,en_token_ids,en_prior_mean_logprob,en_prior_robust_z,en_prior_share,tr_token_count,tr_token_ids,tr_prior_mean_logprob,tr_prior_robust_z,tr_prior_share,status,flags
field_of_study,physics,fizik,ISCED-F 2013,0533 Physics,1,6944,-5.9058822,1.55121,0.0711161,3,275|463|1873,-3.71365325,0.677822,0.02996056,pass,
field_of_study,chemistry,kimya,ISCED-F 2013,0531 Chemistry,1,8856,-6.38504887,1.22114,0.04404215,3,501|306|5488,-4.56665023,-0.402585,0.01276727,pass,
field_of_study,biology,biyoloji,ISCED-F 2013,0511 Biology,1,7505,-6.4058822,1.206789,0.04313409,4,1632|105|21758|10381,-3.61091717,0.807947,0.03320226,pass,
field_of_study,quantitative methods,matematik,ISCED-F 2013,0541 Mathematics,2,13615|2337,-5.71408272,1.683329,0.086152,3,18357|3352|1873,-3.87831513,0.469261,0.02541196,pass,
field_of_study,statistics,istatistik,ISCED-F 2013,0542 Statistics,1,7515,-7.32254887,0.575351,0.01724715,4,43424|261|363|1873,-3.50804981,0.938239,0.03679954,pass,
field_of_study,economics,ekonomi,ISCED-F 2013,0311 Economics,1,9883,-6.51004887,1.135035,0.03886706,3,297|43776|25250,-4.08667541,0.205351,0.02063234,pass,
field_of_study,history,tarih,ISCED-F 2013,0222 History and archaeology,1,1463,-6.42671553,1.192438,0.04224476,3,252|2566|88,-3.71927929,0.670696,0.02979248,pass,
field_of_study,geography,coğrafya,ISCED-F 2013,0532 Earth sciences,1,12973,-7.80171553,0.245281,0.01068115,4,857|43702|39164|5488,-4.2736241,-0.031438,0.01711424,pass,
field_of_study,philosophy,felsefe,ISCED-F 2013,0223 Philosophy and ethics,1,6360,-6.05171545,1.450754,0.06146577,3,275|13830|4565,-5.7919871,-1.954598,0.00374922,pass,
field_of_study,psychology,psikoloji,ISCED-F 2013,0313 Psychology,1,7926,-6.11421553,1.407701,0.05774175,4,15891|1873|21758|10381,-3.90526962,0.43512,0.02473615,pass,
field_of_study,cultural analysis,sosyal,ISCED-F 2013,0314 Sociology and cultural studies,2,2642|2318,-7.6768589,0.331287,0.01210159,3,262|395|8254,-3.37530041,1.10638,0.04202374,pass,
field_of_study,linguistics,dilbilim,ISCED-F 2013,0232 Literature and linguistics,1,25900,-7.5308822,0.431842,0.01400359,4,8601|82|301|306,-4.2971789,-0.061273,0.01671583,pass,
field_of_study,literature,edebiyat,ISCED-F 2013,0232 Literature and linguistics,1,3657,-8.2183822,-0.041736,0.00704145,4,953|2713|12771|261,-3.82322129,0.539043,0.02685129,pass,
field_of_study,archaeology,arkeoloji,ISCED-F 2013,0222 History and archaeology,1,22379,-8.3433822,-0.127842,0.00621406,4,562|396|21758|10381,-3.51998917,0.923117,0.03636279,pass,
field_of_study,anthropology,antropoloji,ISCED-F 2013,0314 Sociology and cultural studies,1,21840,-7.94754887,0.144825,0.00923174,3,1598|11352|33777,-6.56945833,-2.939344,0.00172302,pass,
